cell,engine,side,entry_utc,exit_utc,hold_h,entry_px,exit_px,gross_bps,net_bps_taker,redraws,forced
sol_coinbase,bigline_ad,LONG,2026-06-29 13:00:34,2026-06-29 13:28:08,0.46,73.545,73.505,-5.4,-15.4,0,0
sol_coinbase,bigline_ad,SHORT,2026-06-29 14:07:27,2026-06-29 14:54:01,0.78,73.165,73.415,-34.2,-44.2,1,0
sol_coinbase,bigline_ad,LONG,2026-06-29 16:38:22,2026-06-29 19:24:43,2.77,73.285,75.905,357.5,347.5,1,0
sol_coinbase,bigline_ad,SHORT,2026-06-29 23:20:22,2026-06-30 01:19:40,1.99,75.075,74.305,102.6,92.6,2,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 04:16:57,2026-06-30 04:30:39,0.23,73.735,73.895,-21.7,-31.7,0,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 05:19:12,2026-06-30 05:55:41,0.61,73.745,74.09,-46.8,-56.8,0,0
sol_coinbase,bigline_ad,LONG,2026-06-30 06:28:19,2026-06-30 07:09:06,0.68,74.085,73.805,-37.8,-47.8,0,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 08:09:22,2026-06-30 08:49:59,0.68,73.955,73.51,60.2,50.2,2,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 08:50:19,2026-06-30 08:59:01,0.14,73.265,73.535,-36.9,-46.9,0,0
sol_coinbase,bigline_ad,LONG,2026-06-30 09:42:38,2026-06-30 10:10:02,0.46,73.675,73.595,-10.9,-20.9,0,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 11:17:35,2026-06-30 13:51:14,2.56,73.445,72.655,107.6,97.6,2,0
sol_coinbase,bigline_ad,LONG,2026-06-30 15:20:01,2026-06-30 16:14:52,0.91,73.025,72.785,-32.9,-42.9,0,0
sol_coinbase,bigline_ad,LONG,2026-06-30 16:39:57,2026-06-30 18:37:51,1.97,73.125,73.045,-10.9,-20.9,1,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 19:21:59,2026-06-30 19:33:05,0.18,73.265,73.645,-51.9,-61.9,0,0
sol_coinbase,bigline_ad,LONG,2026-06-30 20:02:42,2026-06-30 20:20:01,0.29,73.735,73.575,-21.7,-31.7,0,0
sol_coinbase,bigline_ad,SHORT,2026-06-30 22:30:11,2026-06-30 22:52:02,0.36,73.345,73.265,10.9,0.9,0,1
eth_coinbase,bigline_ad,LONG,2026-06-29 12:12:14,2026-06-29 12:15:58,0.06,1588.265,1591.365,19.5,9.5,0,0
eth_coinbase,bigline_ad,SHORT,2026-06-29 13:22:58,2026-06-29 13:59:43,0.61,1578.485,1570.24,52.2,42.2,2,0
eth_coinbase,bigline_ad,LONG,2026-06-29 14:54:14,2026-06-29 15:03:10,0.15,1571.62,1562.915,-55.4,-65.4,0,0
eth_coinbase,bigline_ad,LONG,2026-06-29 16:40:58,2026-06-29 20:59:27,4.31,1578.785,1615.005,229.4,219.4,0,0
eth_coinbase,bigline_ad,LONG,2026-06-29 21:13:03,2026-06-29 22:03:50,0.85,1618.365,1616.495,-11.6,-21.6,1,0
eth_coinbase,bigline_ad,LONG,2026-06-29 22:20:40,2026-06-29 22:25:55,0.09,1619.255,1615.185,-25.1,-35.1,0,0
eth_coinbase,bigline_ad,SHORT,2026-06-30 00:19:29,2026-06-30 02:23:59,2.08,1607.405,1588.75,116.1,106.1,1,0
eth_coinbase,bigline_ad,SHORT,2026-06-30 03:34:04,2026-06-30 05:37:09,2.05,1586.255,1585.025,7.8,-2.2,1,0
eth_coinbase,bigline_ad,LONG,2026-06-30 08:20:55,2026-06-30 08:33:23,0.21,1587.125,1583.925,-20.2,-30.2,0,0
eth_coinbase,bigline_ad,SHORT,2026-06-30 09:08:24,2026-06-30 09:40:35,0.54,1580.205,1582.045,-11.6,-21.6,0,0
eth_coinbase,bigline_ad,LONG,2026-06-30 10:48:09,2026-06-30 11:18:47,0.51,1583.985,1579.235,-30.0,-40.0,0,0
eth_coinbase,bigline_ad,SHORT,2026-06-30 11:54:07,2026-06-30 13:51:16,1.95,1575.905,1563.095,81.3,71.3,1,0
eth_coinbase,bigline_ad,LONG,2026-06-30 14:44:43,2026-06-30 14:50:56,0.1,1569.595,1561.095,-54.2,-64.2,0,0
eth_coinbase,bigline_ad,LONG,2026-06-30 16:07:01,2026-06-30 16:15:11,0.14,1568.365,1561.905,-41.2,-51.2,0,0
eth_coinbase,bigline_ad,LONG,2026-07-01 04:43:40,2026-07-01 04:43:41,0.0,1594.395,1594.395,0.0,-10.0,0,0
eth_coinbase,bigline_ad,LONG,2026-07-01 07:24:55,2026-07-01 08:33:33,1.14,1577.315,1567.215,-64.0,-74.0,0,0
eth_coinbase,bigline_ad,LONG,2026-07-01 13:08:18,2026-07-01 13:08:19,0.0,1573.355,1573.355,0.0,-10.0,0,0
eth_coinbase,bigline_ad,LONG,2026-07-02 01:30:31,2026-07-02 04:05:33,2.58,1612.555,1634.915,138.7,128.7,0,1
btc_coinbase,bigline_ad,LONG,2026-06-22 08:09:06,2026-06-22 08:35:25,0.44,64135.675,64070.465,-10.2,-20.2,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-22 08:47:24,2026-06-22 10:02:43,1.26,64101.125,64119.065,-2.8,-12.8,1,0
btc_coinbase,bigline_ad,LONG,2026-06-22 11:04:45,2026-06-22 11:16:44,0.2,64103.805,64170.245,10.4,0.4,1,0
btc_coinbase,bigline_ad,LONG,2026-06-22 11:49:57,2026-06-22 11:52:36,0.04,64699.995,64568.065,-20.4,-30.4,0,0
btc_coinbase,bigline_ad,LONG,2026-06-22 15:33:12,2026-06-22 15:49:42,0.28,65034.235,64796.225,-36.6,-46.6,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-22 17:30:00,2026-06-22 17:54:17,0.4,64442.885,64551.195,-16.8,-26.8,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-22 18:39:35,2026-06-22 20:03:47,1.4,64461.995,64571.275,-17.0,-27.0,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-22 20:07:35,2026-06-22 21:13:30,1.1,64461.165,64304.025,24.4,14.4,1,0
btc_coinbase,bigline_ad,SHORT,2026-06-22 22:20:11,2026-06-22 22:56:39,0.61,64190.365,63919.845,42.1,32.1,1,0
btc_coinbase,bigline_ad,SHORT,2026-06-23 00:20:22,2026-06-23 00:31:27,0.18,63802.325,63911.985,-17.2,-27.2,0,0
btc_coinbase,bigline_ad,LONG,2026-06-23 01:53:50,2026-06-23 02:36:01,0.7,63971.625,64108.71,21.4,11.4,1,0
btc_coinbase,bigline_ad,SHORT,2026-06-23 03:38:18,2026-06-23 03:46:34,0.14,63902.005,63945.965,-6.9,-16.9,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-23 08:14:00,2026-06-23 09:29:55,1.27,62642.25,62437.495,32.7,22.7,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-23 10:41:33,2026-06-23 11:15:10,0.56,62185.605,62316.175,-21.0,-31.0,0,0
btc_coinbase,bigline_ad,LONG,2026-06-24 00:35:36,2026-06-24 01:16:42,0.69,62818.665,62748.855,-11.1,-21.1,1,0
btc_coinbase,bigline_ad,SHORT,2026-06-24 02:54:47,2026-06-24 03:27:37,0.55,62566.895,62537.475,4.7,-5.3,0,0
btc_coinbase,bigline_ad,LONG,2026-06-24 04:32:42,2026-06-24 08:33:06,4.01,62611.495,62668.445,9.1,-0.9,0,0
btc_coinbase,bigline_ad,SHORT,2026-06-30 09:20:59,2026-06-30 09:50:12,0.49,59159.115,59302.975,-24.3,-34.3,0,0
doge_coinbase,bigline_ad,LONG,2026-06-29 13:01:03,2026-06-29 13:27:28,0.44,0.073005,0.07278,-30.8,-40.8,0,0
doge_coinbase,bigline_ad,SHORT,2026-06-29 13:35:58,2026-06-29 14:28:59,0.88,0.072805,0.072485,44.0,34.0,1,0
doge_coinbase,bigline_ad,LONG,2026-06-29 14:54:39,2026-06-29 15:05:05,0.17,0.072515,0.072035,-66.2,-76.2,0,0
doge_coinbase,bigline_ad,LONG,2026-06-29 16:41:28,2026-06-29 22:06:10,5.41,0.072385,0.073785,193.4,183.4,1,0
doge_coinbase,bigline_ad,SHORT,2026-06-30 00:23:33,2026-06-30 02:12:14,1.81,0.073225,0.07224,134.5,124.5,1,0
doge_coinbase,bigline_ad,SHORT,2026-06-30 05:01:51,2026-06-30 05:55:37,0.9,0.072295,0.072305,-1.4,-11.4,0,0
doge_coinbase,bigline_ad,LONG,2026-06-30 08:04:18,2026-06-30 08:09:37,0.09,0.072335,0.072215,-16.6,-26.6,0,0
doge_coinbase,bigline_ad,SHORT,2026-06-30 08:45:38,2026-06-30 08:50:23,0.08,0.071955,0.072105,-20.8,-30.8,0,0
doge_coinbase,bigline_ad,LONG,2026-06-30 09:36:18,2026-06-30 10:25:40,0.82,0.072275,0.072315,5.5,-4.5,1,0
doge_coinbase,bigline_ad,SHORT,2026-06-30 11:53:26,2026-06-30 15:27:47,3.57,0.072055,0.070635,197.1,187.1,1,0
doge_coinbase,bigline_ad,LONG,2026-06-30 22:52:36,2026-06-30 23:24:00,0.52,0.071835,0.071735,-13.9,-23.9,0,0
doge_coinbase,bigline_ad,LONG,2026-06-30 23:45:12,2026-07-01 00:18:54,0.56,0.07188,0.071875,-0.7,-10.7,0,0
doge_coinbase,bigline_ad,SHORT,2026-07-01 00:35:34,2026-07-01 01:38:47,1.05,0.071785,0.071505,39.0,29.0,1,0
doge_coinbase,bigline_ad,LONG,2026-07-01 02:16:14,2026-07-01 02:16:15,0.0,0.071955,0.071955,0.0,-10.0,0,0
xrp_coinbase,bigline_ad,LONG,2026-06-29 12:12:13,2026-06-29 12:14:28,0.04,1.06205,1.06225,1.9,-8.1,0,0
xrp_coinbase,bigline_ad,SHORT,2026-06-29 13:23:15,2026-06-29 14:28:09,1.08,1.05635,1.04395,117.4,107.4,2,0
xrp_coinbase,bigline_ad,SHORT,2026-06-29 15:05:11,2026-06-29 15:36:10,0.52,1.04115,1.0482,-67.7,-77.7,0,0
xrp_coinbase,bigline_ad,LONG,2026-06-29 16:41:49,2026-06-29 22:08:01,5.44,1.04695,1.06145,138.5,128.5,1,0
xrp_coinbase,bigline_ad,SHORT,2026-06-30 02:11:27,2026-06-30 02:22:57,0.19,1.04655,1.04795,-13.4,-23.4,0,0
xrp_coinbase,bigline_ad,SHORT,2026-06-30 05:30:22,2026-06-30 05:30:23,0.0,1.04375,1.04375,-0.0,-10.0,0,0
xrp_coinbase,bigline_ad,SHORT,2026-06-30 09:16:32,2026-06-30 10:48:00,1.52,1.04205,1.04155,4.8,-5.2,0,0
xrp_coinbase,bigline_ad,SHORT,2026-06-30 11:21:23,2026-06-30 13:58:44,2.62,1.04005,1.0332,65.9,55.9,2,0
