row_idx,chunk_id,source_id,asset,venue,side,context_key,chunk_idx,n_chunks_in_trade,entry_ts,horizon_min,net_bps_median,n_sources,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11
0,a10970512e58320c348beda142e39ead,ETH|Kraken|1777903140|1777907640,ETH,Kraken,buy,BASIS_DISLOCATION|ETH|Kraken|buy,0,3,1777903140.0,75.0,110.45548372246745,3,-15.10785220154065,-1.143529906384341,-0.3006038971036169,0.28607939082275224,0.4926655990925387,-0.12734694994891155,-0.04097986290059607,-0.1506548048831038,-0.26217515475426423,0.46653152931547925,-0.1312165759440381,-0.3283004242799459
1,3283a15c7bc39bfe6c13dfdb2e92341b,ETH|Kraken|1777903140|1777907640,ETH,Kraken,buy,BASIS_DISLOCATION|ETH|Kraken|buy,1,3,1777903140.0,75.0,110.45548372246745,3,-19.161169855238715,-0.1563730613511844,-0.8135604179041316,0.2132654121989784,-0.9804883176102321,-0.905252483574545,-0.2035088234234062,-0.48272295368002294,-0.04681810692107575,-0.1301842190986772,-0.20830887269224627,-0.26550197910860507
2,befdf6c820e6a13f76f4c8c9d34d56d8,ETH|Kraken|1777903140|1777907640,ETH,Kraken,buy,BASIS_DISLOCATION|ETH|Kraken|buy,2,3,1777903140.0,75.0,110.45548372246745,3,-53.82245534846065,-0.9969036424006124,-1.0202967590564445,0.5823692588376909,0.5747038991574482,-0.33311100566316726,-0.19106907836153283,0.16724180420173423,0.2597803942806224,-0.17243310786035723,0.4462169259725353,0.019291094147569795
3,9eb832042e1116ccd8b066ad6a316d83,ETH|Kraken|1777904940|1777907640,ETH,Kraken,buy,BASIS_DISLOCATION|ETH|Kraken|buy,0,2,1777904940.0,45.0,69.23050824281904,3,-20.775456047744235,-0.5075959049341999,-0.829947297000718,0.20472359107152482,-0.754625756419197,0.4770741236252207,-0.46657665509789836,0.06519604749872362,-0.025589646501949316,-0.5130626286966035,-0.08643188964004625,0.367623553710564
4,428e1ca64824ffd6a777061f10961125,ETH|Kraken|1777904940|1777907640,ETH,Kraken,buy,BASIS_DISLOCATION|ETH|Kraken|buy,1,2,1777904940.0,45.0,69.23050824281904,3,-53.82245534846031,-0.9969036424006071,-1.0202967590564445,0.58236925883769,0.5747038991574507,-0.33311100566316976,-0.1910690783615367,0.16724180420173454,0.25978039428062194,-0.17243310786035732,0.44621692597253476,0.019291094147567845
5,f2fe4ca6f40526c9aea3e09706933dee,ETH|Kraken|1777905840|1777907640,ETH,Kraken,buy,BASIS_DISLOCATION|ETH|Kraken|buy,0,1,1777905840.0,30.0,38.14942760834917,3,-39.11333200293135,-0.4085359117516144,-0.9282866877769637,0.6286558085760733,-0.791189952206344,0.4411918583157879,-0.4892672393082065,0.07241480152250075,-0.1059153228660664,-0.14093752278331767,-0.17014536751242543,0.3526659427240228
6,9ef279a31065394e298ee2866aa4bc3b,ETH|Kraken|1777904040|1777907640,ETH,Kraken,buy,LIQUIDITY_SQUEEZE|ETH|Kraken|buy,0,2,1777904040.0,60.0,92.18070264209922,3,-19.007903631394974,-0.03241323572958475,-0.7972455674796957,0.2653039463407028,-1.0177580292892343,-1.0065725190406043,-0.1958044574389811,-0.3897014964816304,-0.1305395740717086,-0.0698432313282598,-0.18958912577445058,-0.09011802147593995
7,a28f47d81eefa6b62fd885d61171c959,ETH|Kraken|1777904040|1777907640,ETH,Kraken,buy,LIQUIDITY_SQUEEZE|ETH|Kraken|buy,1,2,1777904040.0,60.0,92.18070264209922,3,-53.82245534846063,-0.9969036424006071,-1.0202967590564433,0.5823692588376894,0.5747038991574481,-0.3331110056631671,-0.19106907836153386,0.16724180420173418,0.25978039428062266,-0.1724331078603579,0.4462169259725347,0.019291094147569673
8,5869b4e09f529db04204212b8c3c6628,ETH|Kraken|1777906740|1777909440,ETH,Kraken,sell,LIQUIDITY_SQUEEZE|ETH|Kraken|sell,0,2,1777906740.0,45.0,67.40469589494985,3,-50.412063086775646,-0.4331802962229874,-0.9834059534606047,0.8805865446466614,0.5528285253265878,-0.17576345286379122,0.08195400230428779,0.055022073767295294,0.34338899697268355,-0.09651703603390459,0.12638120125718047,0.35871703511048925
9,adf1005c9090ffb6e44583ee011add7b,ETH|Kraken|1777906740|1777909440,ETH,Kraken,sell,LIQUIDITY_SQUEEZE|ETH|Kraken|sell,1,2,1777906740.0,45.0,67.40469589494985,3,-13.351876105647316,3.436236051213897,-0.5897875028904241,-1.7954135027901865,-0.4309127993219749,0.0719990126203257,0.005421346960246827,0.3520038601953447,-0.039751892848526135,-0.38211807649805846,0.3586017487645836,-0.12902080848311162
