theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,fallback,1.0,-41.39,-57.39,0.0,0,41.39,41.39,1294,0.0,1.856,0.276,0.3328,0,0.3328,0,0.9359,1,600,-24.37,1,600,-24.37,1,600,-24.37,1,880,-30.38,0.4117,82.54,0,2313
80.0,1,-1,confirm,1.0,27.49,11.49,67.53,2671,40.04,18.53,3082,0.867,1.83,0.332,0.4084,1,0.4398,2632,0.8725,1,941,2.47,1,941,2.47,1,941,2.47,1,1360,1.29,0.7655,41.39,1,3607
80.0,1,1,confirm,1.0,1.78,-14.22,43.09,154,41.31,2.4,601,0.256,1.447,0.334,0.6249,1,0.647,144,0.8412,1,588,11.09,1,588,11.09,1,588,11.09,0,-1,,0.6129,40.32,1,6689
80.0,1,-1,confirm,1.0,151.51,135.51,194.4,6560,42.88,24.89,6651,0.986,3.682,0.169,0.4439,3,0.53,6532,0.912,1,259,-23.33,1,259,-23.33,1,259,-23.33,1,259,-23.33,0.1525,41.13,2,7290
80.0,1,1,confirm,1.0,89.68,73.68,130.96,846,41.28,-0.0,953,0.888,0.736,0.231,0.3213,4,0.3213,846,0.7394,0,-1,,0,-1,,0,-1,,0,-1,,0.3369,43.73,3,13941
80.0,1,-1,confirm,1.0,-76.46,-92.46,8.11,2744,84.57,76.46,3286,0.835,2.641,0.177,0.0056,4,0.0468,492,0.8773,0,-1,,0,-1,,0,-1,,0,-1,,0.3633,40.75,4,14894
80.0,1,1,fallback,1.0,24.96,8.96,66.47,815,41.51,25.01,1421,0.574,0.532,0.111,0.1784,5,0.4676,108,0.8406,1,1069,44.11,1,1069,44.11,1,1069,44.11,1,1106,37.03,0.4606,84.64,5,18180
80.0,1,-1,confirm,1.0,-47.29,-63.29,34.47,335,81.77,47.29,1568,0.214,1.562,0.266,0.2978,5,0.3368,797,0.8845,1,1168,-8.36,1,1168,-8.36,1,1168,-8.36,1,1228,-9.86,0.2467,41.24,5,19601
80.0,1,1,fallback,1.0,-29.25,-45.25,11.2,372,40.44,29.25,1105,0.337,0.819,0.175,0.232,5,0.3683,4,0.7534,1,566,-2.5,1,566,-2.5,1,566,-2.5,1,600,-5.78,0.656,82.05,5,21169
80.0,1,-1,confirm,1.0,-2.38,-18.38,37.84,3014,40.22,58.1,3693,0.816,0.925,0.32,0.3723,7,0.5089,2880,0.9052,1,106,-6.44,1,106,-6.44,1,106,-6.44,1,179,-3.57,0.2256,40.4,6,22274
