theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,fallback,0.1,75.56,59.56,117.49,51781,41.94,15.14,73185,0.708,1.224,0.154,0.5969,6,0.8182,22631,1.0,-0.8919,30258,1,580,-3.82,1,580,-3.82,1,580,-3.82,1,582,-3.82,1,589,-3.83,1,885,-9.0,1,589,-3.83,1,885,-9.0,1,1070,-8.15,0.8882,82.29,5,189418
80.0,1,-1,confirm,0.1,-80.45,-96.45,0.93,25,81.38,80.45,10563,0.002,3.501,0.436,0.7846,7,0.8332,6669,1.0,-0.6182,3079,1,1147,-23.65,1,1147,-23.65,1,1147,-23.65,1,1172,-24.98,1,1416,-38.69,1,1420,-46.88,1,1416,-38.69,1,1420,-46.88,1,2959,-23.8,0.3052,41.45,7,262603
80.0,1,1,fallback,0.1,-16.63,-32.63,23.56,8439,40.19,16.63,12154,0.694,0.787,0.176,0.078,7,0.5424,2007,1.0,-0.4026,10415,1,1243,-3.42,1,1243,-3.42,1,1243,-3.42,1,1245,-3.42,1,1261,-5.19,1,4791,1.38,1,1261,-5.19,1,4791,1.38,1,10415,-7.15,0.998,81.39,7,273166
80.0,1,-1,confirm,0.1,41.8,25.8,81.51,29598,39.71,5.65,33399,0.886,2.608,0.34,0.0936,8,0.7721,4067,1.0,-0.7391,19776,1,687,6.11,1,687,6.11,1,687,6.11,1,2392,-2.83,1,2469,-3.89,1,5228,9.22,1,2469,-3.89,1,5228,9.22,1,9091,23.92,0.0375,40.09,7,285320
80.0,1,1,confirm,0.1,-70.79,-86.79,9.19,1572,79.98,70.79,44828,0.035,3.911,0.483,0.4905,8,0.9352,22972,1.0,-0.9517,21205,1,817,4.58,1,817,4.58,1,817,4.58,1,877,3.86,1,926,3.86,1,1015,3.7,1,926,3.86,1,1015,3.7,1,1015,3.7,0.1875,40.03,8,318719
80.0,1,-1,confirm,0.1,-21.27,-37.27,18.96,17840,40.23,24.48,22942,0.778,0.88,0.155,0.5208,10,0.6359,14334,1.0,-0.9,22060,1,473,-12.14,1,473,-12.14,1,473,-12.14,1,570,-13.95,1,599,-14.87,1,599,-14.87,1,599,-14.87,1,599,-14.87,1,600,-14.87,0.7201,79.91,10,363547
80.0,1,1,confirm,0.1,-72.93,-88.93,6.55,1808,79.48,72.93,90896,0.02,7.18,0.295,0.5649,10,0.9082,274,1.0,-0.9684,59565,1,1235,-4.26,1,1235,-4.26,1,1235,-4.26,1,1258,-4.69,1,1415,-5.39,1,1416,-5.39,1,1415,-5.39,1,1416,-5.39,1,1454,-6.66,0.1664,40.31,10,386489
80.0,1,-1,confirm,0.1,-36.66,-52.66,3.98,11888,40.63,36.66,20526,0.579,3.031,0.342,0.3884,13,0.734,6060,1.0,-0.726,3707,1,1674,-10.2,1,1674,-10.2,1,1674,-10.2,1,3475,-14.25,1,3515,-14.34,1,3543,-14.34,1,3515,-14.34,1,3543,-14.34,1,3543,-14.34,0.8066,79.42,13,477385
80.0,1,1,confirm,0.1,-58.32,-74.32,22.01,3584,80.34,58.32,59226,0.061,0.758,0.103,0.4902,13,0.9695,26052,1.0,-0.9454,41424,1,1561,6.39,1,1561,6.39,1,1561,6.39,1,1561,6.39,1,3778,10.56,1,3796,9.69,1,3778,10.56,1,3796,9.69,1,3861,7.8,0.7208,40.65,13,497911
80.0,1,-1,fallback,0.1,13.75,-2.25,55.28,39106,41.52,38.49,110350,0.354,5.195,0.507,0.7172,16,0.9244,46671,1.0,-0.9661,4365,1,582,-9.29,1,582,-9.29,1,582,-9.29,1,583,-9.29,1,583,-9.29,1,600,-12.38,1,583,-9.29,1,600,-12.38,1,600,-12.38,0.9908,80.16,15,557137
