theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,1.0,-28.92,-44.92,11.78,143,40.71,28.92,837,0.171,0.433,0.21,0.2111,0,0.3261,577,0.8207,1,601,5.36,1,601,5.36,1,601,5.36,1,693,-6.43,0.2813,85.35,0,1017
80.0,0,-1,confirm,1.0,10.74,-5.26,51.57,2519,40.83,50.49,2721,0.926,1.677,0.16,0.1044,1,0.4424,1059,0.9788,1,205,-49.42,1,205,-49.42,1,1480,-22.56,1,245,-47.27,0.1215,40.66,0,1854
80.0,0,1,confirm,1.0,0.0,-16.0,43.02,864,43.02,8.6,1160,0.745,0.884,0.241,0.0505,1,0.0505,864,0.913,1,887,35.49,0,-1,,0,-1,,0,-1,,0.1714,41.04,1,4575
80.0,0,-1,confirm,1.0,25.81,9.81,65.61,528,39.79,1.08,952,0.555,1.36,0.212,0.6512,1,0.6879,569,0.9861,0,-1,,0,-1,,0,-1,,0,-1,,0.688,42.84,1,5735
80.0,0,1,confirm,1.0,7.55,-8.45,49.6,485,42.05,2.16,1810,0.268,0.265,0.222,0.1162,1,0.3848,1523,0.9902,1,691,28.04,1,691,28.04,0,-1,,1,728,36.66,0.8772,40.06,1,6687
80.0,0,-1,confirm,1.0,157.31,141.31,197.18,4995,39.87,9.7,5066,0.986,3.189,0.169,0.3758,3,0.688,2893,0.9794,1,392,12.93,1,392,12.93,1,1868,7.54,1,1868,7.54,0.9824,41.85,2,8497
80.0,0,1,confirm,1.0,98.52,82.52,141.22,1223,42.69,53.64,1324,0.924,1.162,0.181,0.1193,4,0.363,964,0.7827,1,1246,120.42,1,1246,120.42,1,1246,120.42,0,-1,,0.6698,40.67,3,13563
80.0,0,-1,confirm,1.0,-68.29,-84.29,13.01,435,81.3,68.29,3068,0.142,0.051,0.095,0.1247,4,0.5507,2794,0.9653,1,515,-15.18,1,515,-15.18,1,1257,-35.77,1,517,-16.26,0.0304,42.1,4,14887
80.0,0,1,fallback,1.0,101.21,85.21,142.12,1040,40.91,9.69,1451,0.717,1.581,0.057,0.1611,5,0.3048,1231,0.9118,0,-1,,0,-1,,0,-1,,0,-1,,0.1643,81.41,4,17955
80.0,0,-1,confirm,1.0,7.46,-8.54,47.96,509,40.5,9.59,752,0.677,1.272,0.238,-0.1723,5,-0.0581,39,0.2725,0,-1,,0,-1,,0,-1,,0,-1,,0.2946,40.34,5,19406
80.0,0,1,confirm,1.0,42.67,26.67,84.27,3882,41.6,23.47,4419,0.878,1.306,0.132,0.1959,6,0.4893,688,0.988,1,1869,18.13,1,1869,18.13,1,1869,18.13,1,1914,13.87,0.2152,40.7,5,20158
80.0,0,-1,confirm,1.0,4.25,-11.75,44.61,711,40.36,3.19,1004,0.708,1.637,0.218,0.2303,7,0.3025,900,0.9193,0,-1,,0,-1,,0,-1,,0,-1,,0.6229,41.25,6,24577
80.0,0,1,confirm,1.0,4.25,-11.75,44.63,645,40.38,22.31,2110,0.306,2.032,0.213,0.2612,7,0.4253,376,0.9482,1,790,35.07,1,790,35.07,1,790,35.07,1,861,36.13,0.8979,40.54,7,25581
80.0,0,-1,confirm,1.0,33.99,17.99,74.35,7636,40.36,13.81,7708,0.991,3.177,0.153,0.4032,9,0.6446,5121,0.9977,1,630,-6.37,1,630,-6.37,1,630,-6.37,1,630,-6.37,0.3745,40.2,7,27691
80.0,0,1,confirm,1.0,2.13,-13.87,42.63,169,40.5,6.39,535,0.316,0.283,0.133,0.3866,9,0.4589,201,0.9358,0,-1,,0,-1,,0,-1,,0,-1,,0.6078,40.66,9,35399
80.0,0,-1,confirm,1.0,-71.39,-87.39,9.59,133,80.98,71.39,3771,0.035,0.595,0.065,-0.0199,10,0.5603,3284,0.9722,1,496,-45.82,1,496,-45.82,1,496,-45.82,1,511,-43.69,0.4854,40.33,9,35934
80.0,0,1,fallback,1.0,-38.09,-54.09,2.12,11,40.2,38.09,2104,0.005,3.195,0.226,-0.0997,11,0.3259,94,0.9893,1,188,-25.39,1,188,-25.39,1,188,-25.39,1,226,-23.28,0.1284,81.06,11,39705
80.0,0,-1,confirm,1.0,5.31,-10.69,45.67,841,40.36,15.93,1997,0.421,0.746,0.23,0.4215,11,0.4863,775,0.9862,1,1014,37.17,1,1014,37.17,1,1014,37.17,1,1272,24.43,0.4693,40.19,11,41809
80.0,0,1,confirm,1.0,-48.88,-64.88,30.82,5007,79.69,48.88,7830,0.639,4.708,0.08,0.0936,13,0.7479,2598,0.9925,1,305,-12.75,1,305,-12.75,1,305,-12.75,1,315,-19.13,0.6117,40.54,12,43806
80.0,0,-1,confirm,1.0,11.75,-4.25,54.46,811,42.71,4.27,994,0.816,0.289,0.115,0.0989,14,0.2572,433,0.9204,1,667,19.22,1,667,19.22,1,667,19.22,0,-1,,0.6634,79.45,14,51636
80.0,0,1,confirm,1.0,-53.45,-69.45,26.73,1394,80.18,53.45,2675,0.521,0.281,0.105,-0.0603,15,0.4703,1483,0.9792,1,649,2.14,1,649,2.14,1,649,2.14,1,883,8.55,0.8536,42.95,14,52630
80.0,0,-1,fallback,1.0,-33.32,-49.32,7.52,87,40.84,33.32,245,0.355,0.833,0.13,-0.0397,15,-0.0027,162,0.6838,0,-1,,0,-1,,0,-1,,0,-1,,0.0878,79.97,15,55305
80.0,0,1,confirm,1.0,12.85,-3.15,53.56,279,40.71,3.21,382,0.73,0.895,0.162,0.2423,15,0.2423,279,0.9665,1,42,11.78,0,-1,,0,-1,,0,-1,,0.2082,40.87,15,55550
80.0,0,-1,confirm,1.0,55.63,39.63,97.36,1807,41.72,0.0,1973,0.916,3.98,0.094,0.2513,16,0.4908,1529,0.9105,1,922,74.89,1,922,74.89,1,922,74.89,1,944,68.47,0.366,40.49,15,55932
80.0,0,1,confirm,1.0,-67.78,-83.78,11.83,89,79.61,67.78,184,0.484,0.397,0.034,-0.1976,16,-0.1643,0,0.2411,0,-1,,0,-1,,0,-1,,0,-1,,0.3874,42.13,16,57905
80.0,0,-1,confirm,1.0,35.75,19.75,77.99,1153,42.24,47.66,1210,0.953,0.79,0.184,0.2373,16,0.6505,597,0.9499,0,-1,,0,-1,,0,-1,,0,-1,,0.5746,79.52,16,58089
80.0,0,1,confirm,1.0,5.44,-10.56,45.66,1151,40.22,27.18,1356,0.849,0.911,0.154,0.2758,16,0.3147,1187,0.9006,1,639,8.7,1,639,8.7,1,639,8.7,0,-1,,0.107,42.58,16,59299
80.0,0,-1,confirm,1.0,2.17,-13.83,44.55,989,42.37,53.24,1508,0.656,1.21,0.203,-0.265,17,0.0805,1098,0.931,1,1105,21.73,0,-1,,0,-1,,0,-1,,0.6905,40.04,16,60655
80.0,0,1,confirm,1.0,71.72,55.72,114.11,1469,42.38,5.43,1837,0.8,0.39,0.129,0.5209,17,0.5702,1416,0.9366,1,403,39.12,1,403,39.12,1,403,39.12,1,403,39.12,0.3036,42.56,17,62163
80.0,0,-1,confirm,1.0,29.13,13.13,69.05,2026,39.92,19.42,2728,0.743,4.423,0.238,0.5059,18,0.7422,1576,0.9718,1,122,-6.47,1,769,5.39,1,769,5.39,1,802,6.47,0.3464,41.9,17,64000
80.0,0,1,confirm,1.0,24.89,8.89,67.09,1449,42.2,24.89,2257,0.642,1.177,0.143,-0.0556,18,0.4644,1111,0.9567,1,82,-2.16,1,82,-2.16,1,82,-2.16,1,142,-19.48,0.4713,40.2,18,66728
80.0,0,-1,confirm,1.0,37.78,21.78,78.8,1435,41.02,17.27,1711,0.839,0.258,0.125,-0.0425,19,0.2325,0,0.8579,1,96,-15.11,1,96,-15.11,1,96,-15.11,1,172,-9.72,0.3387,41.92,19,68985
80.0,0,1,confirm,1.0,1.08,-14.92,42.26,574,41.17,3.25,714,0.804,0.607,0.245,0.5624,19,0.6586,324,0.9687,1,619,29.26,1,619,29.26,1,619,29.26,1,704,14.09,0.2169,41.34,19,70696
80.0,0,-1,confirm,1.0,67.17,51.17,107.26,718,40.09,2.17,984,0.73,1.207,0.16,0.2381,20,0.4806,231,0.78,0,-1,,0,-1,,0,-1,,0,-1,,0.8542,41.0,19,71410
80.0,0,1,confirm,1.0,32.72,16.72,73.08,484,40.36,-0.0,512,0.945,3.13,0.33,0.5043,20,0.5043,482,0.9366,1,507,35.99,1,507,35.99,1,507,35.99,1,508,37.09,0.3887,40.52,20,72394
80.0,0,-1,confirm,1.0,-42.4,-58.4,38.05,176,80.45,42.4,744,0.237,0.272,0.043,0.1643,20,0.3948,578,0.8535,1,600,-19.57,1,600,-19.57,1,600,-19.57,1,691,-38.05,0.6964,40.06,20,72906
80.0,0,1,fallback,1.0,-38.97,-54.97,1.08,19,40.06,38.97,412,0.046,0.803,0.328,0.1029,20,0.7673,173,0.9923,0,-1,,0,-1,,0,-1,,0,-1,,0.2797,80.76,20,73650
80.0,0,-1,confirm,1.0,107.6,91.6,151.07,1245,43.47,11.96,1267,0.983,5.235,0.149,0.277,20,0.6355,544,0.9809,0,-1,,0,-1,,0,-1,,0,-1,,0.6725,40.05,20,74062
80.0,0,1,confirm,1.0,92.29,76.29,135.14,773,42.85,26.37,888,0.87,0.835,0.206,0.1397,21,0.2243,578,0.7062,0,-1,,0,-1,,0,-1,,0,-1,,0.2842,44.14,20,75329
80.0,0,-1,confirm,1.0,-68.58,-84.58,18.51,42,87.09,68.58,1390,0.03,0.344,0.121,-0.1318,21,0.1437,761,0.9695,1,456,-15.24,1,456,-15.24,0,-1,,1,601,-14.15,0.1923,42.28,21,76217
80.0,0,1,fallback,1.0,-32.44,-48.44,8.65,170,41.09,32.44,404,0.421,0.203,0.18,0.365,21,0.3694,61,0.9553,0,-1,,0,-1,,0,-1,,0,-1,,0.2995,87.25,21,77607
80.0,0,-1,confirm,1.0,-77.01,-93.01,4.34,5,81.35,77.01,566,0.009,0.843,0.038,-0.1975,21,0.0401,367,0.869,0,-1,,0,-1,,0,-1,,0,-1,,0.9553,41.05,21,78011
80.0,0,1,fallback,1.0,-4.31,-20.31,36.6,783,40.9,19.38,914,0.857,1.918,0.132,-0.0736,22,0.2481,171,0.7875,1,262,-12.92,1,262,-12.92,1,262,-12.92,1,688,7.53,0.5235,81.39,21,78577
80.0,0,-1,confirm,1.0,39.84,23.84,81.84,1055,42.0,23.69,1227,0.86,0.778,0.12,0.0345,22,0.6054,565,0.96,1,895,46.31,1,895,46.31,1,895,46.31,0,-1,,0.0597,40.76,22,79491
80.0,0,1,confirm,1.0,-82.17,-98.17,0.0,0,82.17,82.17,2234,0.0,1.264,0.007,-0.1181,22,0.3626,1947,0.9637,0,-1,,0,-1,,0,-1,,0,-1,,0.5703,42.35,22,80718
80.0,0,-1,fallback,1.0,2.18,-13.82,42.52,506,40.34,16.35,591,0.856,0.409,0.154,-0.0992,23,0.011,68,0.9042,0,-1,,0,-1,,0,-1,,0,-1,,0.0859,82.17,23,82952
80.0,0,1,confirm,1.0,-21.81,-37.81,18.54,3058,40.34,62.15,3493,0.875,1.462,0.105,0.1701,0,0.3939,1321,0.9384,1,134,-4.36,1,134,-4.36,1,1625,-29.44,1,134,-4.36,0.1354,40.51,23,83543
80.0,0,-1,confirm,1.0,135.5,119.5,175.94,1164,40.43,36.06,1173,0.992,6.949,0.233,0.5847,0,0.6101,1161,0.9057,0,-1,,0,-1,,0,-1,,0,-1,,0.4028,40.27,0,87036
80.0,0,1,confirm,1.0,29.91,13.91,74.22,302,44.31,9.97,425,0.711,0.185,0.036,-0.4845,0,-0.397,402,0.7559,0,-1,,0,-1,,0,-1,,0,-1,,0.7428,41.16,0,88209
80.0,0,-1,confirm,1.0,23.19,7.19,65.16,131,41.97,4.42,176,0.744,0.353,0.048,0.4271,0,0.4702,67,0.8267,0,-1,,0,-1,,0,-1,,0,-1,,0.1271,43.99,0,88634
80.0,0,1,confirm,1.0,53.14,37.14,94.1,278,40.96,5.54,336,0.827,0.591,0.04,0.0039,0,0.0258,293,0.6663,0,-1,,0,-1,,0,-1,,0,-1,,0.148,42.25,0,88810
80.0,0,-1,confirm,1.0,11.01,-4.99,51.76,173,40.74,7.71,350,0.494,0.332,0.016,0.0432,0,0.2907,260,0.8067,0,-1,,0,-1,,0,-1,,0,-1,,0.0792,40.58,0,89146
80.0,0,1,confirm,1.0,4.41,-11.59,45.2,820,40.79,39.69,1034,0.793,0.612,0.104,-0.0881,1,0.0092,1006,0.8779,0,-1,,0,-1,,0,-1,,0,-1,,0.4239,40.96,0,89496
80.0,0,-1,confirm,1.0,153.17,137.17,193.94,872,40.77,1.1,892,0.978,4.309,0.129,0.4554,1,0.46,871,0.7664,0,-1,,0,-1,,0,-1,,0,-1,,0.374,40.61,1,90530
80.0,0,1,confirm,1.0,24.62,8.62,64.91,174,40.29,25.74,237,0.734,0.831,0.02,-0.2706,1,-0.2625,206,0.5499,0,-1,,0,-1,,0,-1,,0,-1,,0.5966,41.58,1,91422
80.0,0,-1,confirm,1.0,8.93,-7.07,50.23,124,41.3,0.0,198,0.626,0.314,0.052,0.2737,1,0.2879,43,0.7247,0,-1,,0,-1,,0,-1,,0,-1,,0.4013,40.03,1,91659
80.0,0,1,confirm,1.0,45.81,29.81,87.15,268,41.34,3.35,423,0.634,1.022,0.077,0.0367,1,0.0664,152,0.439,1,163,32.4,0,-1,,0,-1,,0,-1,,0.361,41.51,1,91857
80.0,0,-1,confirm,1.0,84.53,68.53,125.68,809,41.15,18.91,821,0.985,4.438,0.162,0.34,1,0.34,809,0.7049,0,-1,,0,-1,,0,-1,,0,-1,,0.3056,40.98,1,92280
80.0,0,1,confirm,1.0,-75.15,-91.15,7.85,3,83.01,75.15,91,0.033,5.772,0.091,-0.154,1,0.0982,60,0.419,0,-1,,0,-1,,0,-1,,0,-1,,0.6615,41.68,1,93101
80.0,0,-1,fallback,1.0,-20.34,-36.34,23.73,29,44.08,20.34,202,0.144,2.588,0.147,-0.0621,1,-0.0396,166,0.5441,0,-1,,0,-1,,0,-1,,0,-1,,0.2156,82.94,1,93192
80.0,0,1,confirm,1.0,-83.46,-99.46,3.38,50,86.85,83.46,337,0.148,0.38,0.063,0.0573,1,0.152,328,0.4228,1,334,-66.55,1,334,-66.55,0,-1,,0,-1,,0.0463,44.18,1,93394
80.0,0,-1,fallback,1.0,111.46,95.46,152.41,75,40.95,0.0,79,0.949,5.112,0.126,0.1647,2,0.1757,71,0.4953,0,-1,,0,-1,,0,-1,,0,-1,,0.2047,86.82,2,93731
80.0,0,1,confirm,1.0,-57.51,-73.51,35.66,38,93.17,57.51,61,0.623,4.589,0.076,-0.1067,2,-0.1024,52,0.0748,0,-1,,0,-1,,0,-1,,0,-1,,0.2295,41.58,2,93810
80.0,0,-1,fallback,1.0,20.82,4.82,63.63,23,42.8,0.0,27,0.852,3.151,0.149,0.111,2,0.1213,19,0.1107,0,-1,,0,-1,,0,-1,,0,-1,,0.0479,92.84,2,93871
80.0,0,1,confirm,1.0,150.71,134.71,193.6,197,42.89,11.59,254,0.776,0.266,0.029,-0.0743,2,-0.0701,242,0.3183,0,-1,,0,-1,,0,-1,,0,-1,,0.072,43.08,2,93898
80.0,0,-1,confirm,1.0,13.7,-2.3,53.68,58,39.97,1.14,81,0.716,0.212,0.065,0.0797,2,0.0821,81,0.4389,0,-1,,0,-1,,0,-1,,0,-1,,0.1473,42.08,2,94152
80.0,0,1,confirm,1.0,35.45,19.45,77.77,227,42.31,21.73,277,0.819,0.161,0.075,-0.0674,2,-0.0337,259,0.3008,0,-1,,0,-1,,0,-1,,0,-1,,0.3216,40.19,2,94233
80.0,0,-1,confirm,1.0,-44.44,-60.44,37.61,29,82.05,44.44,115,0.252,0.611,0.003,0.1322,2,0.1364,97,0.6243,0,-1,,0,-1,,0,-1,,0,-1,,0.2839,41.99,2,94510
80.0,0,1,fallback,1.0,82.82,66.82,124.8,591,41.98,28.36,781,0.757,0.962,0.124,0.2501,2,0.2501,591,0.821,0,-1,,0,-1,,0,-1,,0,-1,,0.3885,82.36,2,94625
80.0,0,-1,confirm,1.0,-75.39,-91.39,7.88,17,83.27,75.39,719,0.024,1.022,0.065,-0.1193,2,0.0436,410,0.625,0,-1,,0,-1,,0,-1,,0,-1,,0.4075,41.46,2,95406
80.0,0,1,fallback,1.0,5.58,-10.42,45.79,573,40.21,7.82,906,0.632,1.264,0.092,0.2556,2,0.3777,204,0.8802,1,676,17.87,1,676,17.87,1,676,17.87,1,720,10.05,0.4825,83.33,2,96125
80.0,0,-1,confirm,1.0,-54.69,-70.69,26.79,92,81.48,54.69,405,0.227,0.752,0.097,-0.1213,2,-0.0989,81,0.9492,0,-1,,0,-1,,0,-1,,0,-1,,0.5138,40.02,2,97031
