theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,0.1,72.67,56.67,116.55,9390,43.88,8.91,12371,0.759,6.415,0.189,-0.1816,0,0.9992,11299,1.0,-0.9907,11909,1,514,18.51,1,514,18.51,1,514,18.51,1,514,18.51,1,1518,34.97,1,1518,34.97,1,1518,34.97,1,1518,34.97,1,1518,34.97,0.1225,80.86,0,8086
80.0,0,-1,confirm,0.1,71.47,55.47,111.63,17139,40.16,26.55,21937,0.781,0.379,0.434,0.6507,1,1.0,4618,1.0,-1.0,3229,1,894,-8.85,1,894,-8.85,1,894,-8.85,1,894,-8.85,1,895,-8.85,1,895,-8.85,1,895,-8.85,1,895,-8.85,1,895,-8.85,0.1729,43.37,0,20457
80.0,0,1,confirm,0.1,20.57,4.57,63.07,7599,42.5,0.69,12539,0.606,0.016,0.581,0.9798,1,1.0,0,1.0,-1.0,8337,1,16,2.06,1,16,2.06,1,16,2.06,1,16,2.06,1,16,2.06,1,16,2.06,1,16,2.06,1,16,2.06,1,16,2.06,1.0,40.61,1,42394
80.0,0,-1,confirm,0.1,57.47,41.47,97.15,5705,39.68,0.0,5842,0.977,3.295,0.261,0.5668,1,0.9961,1419,1.0,-0.9986,3837,1,43,1.37,1,43,1.37,1,43,1.37,1,43,1.37,1,43,1.37,1,43,1.37,1,43,1.37,1,43,1.37,1,43,1.37,1.0,42.24,1,54933
80.0,0,1,confirm,0.1,29.59,13.59,71.56,530,41.97,1.38,2014,0.263,0.001,0.327,0.6061,1,0.7047,206,1.0,-0.7809,738,1,560,69.5,1,560,69.5,1,560,69.5,1,561,68.81,1,598,60.55,1,598,60.55,1,598,60.55,1,598,60.55,1,598,60.55,0.9525,40.07,1,60775
80.0,0,-1,confirm,0.1,61.06,45.06,100.85,7429,39.79,21.95,7890,0.942,2.567,0.157,0.2692,1,0.7534,3737,1.0,-0.8508,6452,1,460,-13.04,1,460,-13.04,1,460,-13.04,1,460,-13.04,1,460,-13.04,1,485,-19.21,1,460,-13.04,1,485,-19.21,1,600,-12.35,1.0,41.68,1,62789
80.0,0,1,confirm,0.1,-42.8,-58.8,37.97,10307,80.76,42.8,14896,0.692,3.09,0.122,0.2169,2,0.9483,9714,1.0,-0.9946,2827,1,112,-4.83,1,219,0.69,1,219,0.69,1,224,0.69,1,343,-4.83,1,456,-8.97,1,0,0.0,1,456,-8.97,1,456,-8.97,0.1757,40.2,1,70679
80.0,0,-1,fallback,0.1,-15.25,-31.25,25.65,2102,40.9,15.25,2185,0.962,7.897,0.181,0.6195,2,0.7954,2080,1.0,-0.9271,984,1,983,-6.93,1,983,-6.93,1,983,-6.93,1,983,-6.93,1,983,-6.93,1,983,-6.93,1,204,-4.85,1,204,-4.85,1,218,-6.24,1.0,80.46,2,85575
80.0,0,1,confirm,0.1,4.15,-11.85,45.68,9136,41.53,47.07,10134,0.902,3.991,0.157,0.7556,2,0.9972,6920,1.0,-0.9783,3512,1,662,-18.0,1,662,-18.0,1,662,-18.0,1,662,-18.0,1,662,-18.0,1,662,-18.0,1,662,-18.0,1,662,-18.0,1,662,-18.0,0.7376,41.01,2,87760
80.0,0,-1,confirm,0.1,-9.69,-25.69,30.44,9881,40.13,73.34,10880,0.908,2.863,0.077,0.9036,2,0.9905,288,1.0,-0.9989,5206,1,661,-71.27,1,661,-71.27,1,661,-71.27,1,662,-72.65,1,663,-73.34,1,663,-73.34,1,663,-73.34,1,663,-73.34,1,664,-73.34,1.0,41.34,2,97894
80.0,0,1,confirm,0.1,-51.15,-67.15,30.41,3329,81.56,51.15,8808,0.378,1.297,0.123,-0.6365,3,0.998,5161,1.0,-1.0,8190,1,103,-6.91,1,103,-6.91,1,103,-6.91,1,103,-6.91,1,103,-6.91,1,103,-6.91,1,103,-6.91,1,103,-6.91,1,103,-6.91,1.0,40.25,3,108774
80.0,0,-1,fallback,0.1,-27.79,-43.79,13.2,4155,40.99,27.79,6823,0.609,2.898,0.184,0.3654,3,0.9982,4748,1.0,-0.9999,5348,1,202,-10.42,1,202,-10.42,1,202,-10.42,1,202,-10.42,1,366,-7.64,1,393,-7.64,1,366,-7.64,1,393,-7.64,1,430,-9.03,0.6087,81.32,3,117582
80.0,0,1,confirm,0.1,47.11,31.11,87.99,9301,40.88,24.94,10917,0.852,1.513,0.235,0.4305,3,1.0,6973,1.0,-0.9985,4561,1,172,2.77,1,172,2.77,1,172,2.77,1,172,2.77,1,172,2.77,1,172,2.77,1,0,0.0,1,0,0.0,1,0,0.0,0.7586,41.05,3,124405
80.0,0,-1,confirm,0.1,30.34,14.34,70.34,31334,40.0,48.96,37635,0.833,1.703,0.325,0.0027,4,1.0,20901,1.0,-1.0,600,1,314,-13.1,1,314,-13.1,1,314,-13.1,1,599,-21.38,1,599,-21.38,1,599,-21.38,1,599,-21.38,1,599,-21.38,1,599,-21.38,0.2899,40.52,3,135322
80.0,0,1,confirm,0.1,192.29,176.29,233.8,24226,41.5,6.92,26331,0.92,0.035,0.068,0.6552,5,1.0,0,1.0,-1.0,9470,1,273,0.0,1,273,0.0,1,273,0.0,1,273,0.0,1,383,0.69,1,2060,11.07,1,383,0.69,1,2060,11.07,1,2060,11.07,1.0,40.28,4,172957
80.0,0,-1,confirm,0.1,-14.93,-30.93,25.79,134182,40.72,65.15,138838,0.966,0.272,0.258,0.9145,9,1.0,10149,1.0,-1.0,2345,1,651,-6.11,1,651,-6.11,1,651,-6.11,1,654,-5.43,1,790,-3.39,1,790,-3.39,1,0,-0.0,1,0,-0.0,1,0,-0.0,0.9802,40.55,5,199288
