theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,1.0,20.09,4.09,61.6,494,41.52,4.02,781,0.633,0.416,0.144,0.2956,0,0.3298,579,0.8275,0,-1,,0,-1,,0,-1,,0,-1,,0.0376,90.54,0,634
80.0,0,-1,confirm,1.0,49.45,33.45,89.55,4850,40.1,41.43,5159,0.94,2.086,0.183,0.2152,1,0.4356,3650,0.8625,1,699,-28.07,1,699,-28.07,1,699,-28.07,1,1976,-21.38,0.3682,41.26,0,1415
80.0,0,1,confirm,1.0,21.49,5.49,61.79,269,40.3,6.72,712,0.378,1.644,0.201,-0.0005,1,0.1856,137,0.7966,1,212,29.55,1,212,29.55,0,-1,,1,356,44.33,0.4179,40.46,1,6574
80.0,0,-1,confirm,1.0,9.38,-6.62,49.59,1374,40.21,26.81,2299,0.598,2.071,0.143,0.3041,2,0.3342,1004,0.8319,1,113,-2.68,1,113,-2.68,1,113,-2.68,1,122,-6.7,0.3144,40.05,2,7286
80.0,0,1,confirm,1.0,-79.15,-95.15,1.34,78,80.49,79.15,2807,0.028,0.16,0.054,0.0034,2,0.1818,1712,0.897,1,1805,-41.59,1,1805,-41.59,0,-1,,1,1805,-41.59,0.3182,40.41,2,9585
80.0,0,-1,fallback,1.0,-16.23,-32.23,24.34,191,40.57,16.23,270,0.707,1.762,0.11,0.2847,3,0.3004,137,0.774,0,-1,,0,-1,,0,-1,,0,-1,,0.8917,80.48,3,12392
80.0,0,1,confirm,1.0,-78.3,-94.3,4.05,10,82.35,78.3,309,0.032,4.179,0.02,0.0206,3,0.0251,41,0.4926,0,-1,,0,-1,,0,-1,,0,-1,,0.4331,40.67,3,12662
80.0,0,-1,fallback,1.0,114.3,98.3,164.65,879,50.35,6.8,900,0.977,5.109,0.127,0.3133,3,0.3743,848,0.6499,0,-1,,0,-1,,0,-1,,0,-1,,0.3527,82.32,3,12971
80.0,0,1,confirm,1.0,9.64,-6.36,50.93,275,41.29,24.78,415,0.663,0.25,0.003,-0.21,3,-0.1836,389,0.5611,0,-1,,0,-1,,0,-1,,0,-1,,0.3266,51.19,3,13871
80.0,0,-1,confirm,1.0,-77.01,-93.01,5.5,46,82.51,77.01,297,0.155,0.44,0.027,0.208,3,0.2089,52,0.4157,1,129,-9.63,1,129,-9.63,1,129,-9.63,1,185,-33.0,0.0211,41.08,3,14286
80.0,0,1,fallback,1.0,28.66,12.66,69.6,204,40.94,12.28,239,0.854,2.803,0.148,0.0948,4,0.2118,29,0.5591,0,-1,,0,-1,,0,-1,,0,-1,,0.3565,82.55,4,14583
80.0,0,-1,confirm,1.0,-53.07,-69.07,28.58,193,81.64,53.07,2328,0.083,0.323,0.086,-0.053,4,0.1322,1491,0.7556,1,684,19.05,1,684,19.05,0,-1,,1,1822,2.72,0.047,40.66,4,14822
80.0,0,1,fallback,1.0,-24.36,-40.36,16.24,151,40.61,24.36,487,0.31,0.995,0.207,0.4062,4,0.4272,132,0.9308,0,-1,,0,-1,,0,-1,,0,-1,,0.2168,81.88,4,17150
80.0,0,-1,confirm,1.0,-80.05,-96.05,2.71,1,82.77,80.05,502,0.002,2.614,0.016,-0.0957,4,-0.0358,28,0.0987,0,-1,,0,-1,,0,-1,,0,-1,,0.6292,40.54,4,17637
80.0,0,1,fallback,1.0,44.42,28.42,84.8,856,40.38,8.08,1252,0.684,0.759,0.061,0.1153,5,0.4789,114,0.9164,1,980,60.57,1,980,60.57,1,980,60.57,1,1108,60.57,0.018,82.79,5,18139
80.0,0,-1,confirm,1.0,12.06,-3.94,52.26,546,40.2,6.7,718,0.76,1.03,0.17,-0.0636,5,0.2468,34,0.742,1,299,6.7,1,299,6.7,1,299,6.7,1,625,26.8,0.4485,40.04,5,19391
80.0,0,1,confirm,1.0,64.4,48.4,107.34,3590,42.94,22.81,4492,0.799,2.799,0.096,0.5389,6,0.6817,2783,0.9659,1,110,-13.42,1,110,-13.42,1,2211,40.25,1,217,-10.73,0.1568,40.41,5,20109
80.0,0,-1,confirm,1.0,-51.99,-67.99,33.33,687,85.32,51.99,1715,0.401,1.687,0.103,0.1443,7,0.2442,1213,0.893,1,715,24.0,1,715,24.0,1,1627,-41.33,1,1697,-41.33,0.8733,42.48,6,24601
80.0,0,1,fallback,1.0,-41.11,-57.11,0.0,0,41.11,41.11,3003,0.0,1.681,0.138,0.2085,7,0.67,2022,0.9798,1,2359,-18.57,1,2359,-18.57,1,2359,-18.57,1,2362,-19.89,0.8584,85.61,7,26316
80.0,0,-1,confirm,1.0,7.99,-8.01,47.94,5998,39.95,17.31,6057,0.99,1.047,0.11,0.0382,9,0.5373,5669,0.868,1,614,9.32,1,614,9.32,1,614,9.32,1,894,19.98,0.9047,41.11,8,29319
