theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,-1,confirm,0.1,-36.08,-52.08,4.16,2,40.25,36.08,550,0.004,0.994,0.186,0.2775,0,0.2776,1,0.5749,0.1901,550,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.7556,79.85,0,6944
80.0,0,1,confirm,0.1,106.48,90.48,149.35,3193,42.87,8.99,3751,0.851,1.915,0.165,0.2158,0,0.2453,1519,0.7687,-0.2213,3,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,1,-5.53,0,-1,,0,-1,,0.5747,40.26,0,7494
80.0,0,-1,confirm,0.1,-80.73,-96.73,-0.0,0,80.73,80.73,2453,0.0,0.932,0.036,-0.187,0,-0.136,1190,0.7526,-0.3181,2453,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,1548,-28.73,1,1665,-21.89,0,-1,,0.5069,42.24,0,11245
80.0,0,1,fallback,0.1,8.14,-7.86,48.86,1747,40.72,1.36,2790,0.626,3.36,0.085,0.2467,0,0.3786,121,0.8872,0.2236,1077,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.0669,80.73,0,13698
80.0,0,-1,confirm,0.1,-60.35,-76.35,21.7,4727,82.05,60.35,10822,0.437,4.596,0.08,0.0019,0,0.1773,9904,0.7186,-0.4444,10822,1,10082,-12.21,1,10082,-12.21,0,-1,,1,10082,-12.21,1,10082,-12.21,1,10820,-54.25,1,0,-0.0,1,391,-9.49,1,2511,-13.56,0.1083,40.52,0,16488
80.0,0,1,fallback,0.1,-10.11,-26.11,31.01,107,41.12,10.11,606,0.177,2.364,0.319,0.3899,0,0.4809,12,0.8325,0.3539,597,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.62,82.23,0,27310
80.0,0,-1,confirm,0.1,95.81,79.81,136.29,2697,40.48,9.45,6115,0.441,2.794,0.131,-0.3246,0,-0.012,5465,0.6676,-0.3943,413,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,-0.0,1,0,-0.0,0,-1,,0.5164,40.99,0,27916
80.0,0,1,confirm,0.1,34.06,18.06,74.94,10252,40.87,59.27,13517,0.758,0.965,0.235,0.1869,1,0.2991,1475,0.9711,-0.1356,11414,1,10295,68.12,1,10295,68.12,1,10295,68.12,1,10820,47.01,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.0444,41.04,0,34031
80.0,0,-1,confirm,0.1,-78.76,-94.76,4.07,467,82.83,78.76,2420,0.193,0.552,0.077,0.0236,1,0.0597,0,0.0312,-0.3148,1133,1,6,-17.65,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,536,4.07,1,537,-2.72,0,-1,,0.5137,40.57,1,47548
80.0,0,1,fallback,0.1,-39.07,-55.07,1.35,3294,40.42,39.07,6060,0.544,0.165,0.261,-0.4914,1,0.2889,0,0.8297,-0.9007,6003,1,350,-5.39,1,350,-5.39,1,350,-5.39,1,392,-8.76,1,392,-8.76,1,392,-8.76,1,392,-8.76,1,392,-8.76,1,392,-8.76,0.3312,82.86,1,49968
80.0,0,-1,confirm,0.1,71.68,55.68,116.32,4587,44.63,0.0,4721,0.972,1.06,0.227,0.2766,1,0.899,18,0.8369,0.1392,4721,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.4425,40.41,1,56028
80.0,0,1,confirm,0.1,40.87,24.87,83.1,534,42.23,-0.0,2022,0.264,0.927,0.243,-0.173,1,0.0092,1339,0.5058,-0.3903,1953,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,719,55.17,1,1942,53.13,0,-1,,0.6933,45.16,1,60749
80.0,0,-1,confirm,0.1,52.91,36.91,92.94,3741,40.02,37.99,4019,0.931,0.425,0.111,0.5246,1,0.6038,3997,0.9609,0.3754,375,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.1084,41.88,1,62771
80.0,0,1,confirm,0.1,-79.11,-95.11,2.73,120,81.84,79.11,3321,0.036,1.091,0.059,-0.6122,1,-0.1978,3285,0.4607,-0.6703,1298,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,0.0,1,0,0.0,1,0,0.0,0.4125,40.4,1,66790
80.0,0,-1,fallback,0.1,-34.37,-50.37,6.87,86,41.25,34.37,272,0.316,0.729,0.072,0.1762,1,0.204,11,-0.2499,0.1516,190,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.5749,81.82,1,70111
80.0,0,1,confirm,0.1,1.37,-14.63,42.47,3649,41.1,42.47,4787,0.762,0.827,0.232,0.0177,2,0.1111,2884,0.9533,-0.1569,0,1,3884,24.66,1,3884,24.66,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.2731,41.27,1,70383
80.0,0,-1,confirm,0.1,-71.24,-87.24,12.33,959,83.57,71.24,2723,0.352,0.379,0.2,0.0118,2,0.1003,2305,0.5869,-0.1185,2314,1,2307,-42.47,1,2307,-42.47,0,-1,,1,2308,-43.84,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.2367,40.93,2,75170
80.0,0,1,fallback,0.1,-23.12,-39.12,19.04,396,42.17,23.12,566,0.7,2.625,0.181,0.1257,2,0.1273,536,0.8505,0.0936,191,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.3556,83.67,2,77893
80.0,0,-1,confirm,0.1,-15.0,-31.0,25.9,3235,40.9,62.72,3550,0.911,0.622,0.29,-0.4528,2,-0.1158,11,0.3359,-0.5163,2935,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,892,-6.82,1,1579,-21.81,1,2097,-14.32,0.8488,42.09,2,78459
