theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,fallback,1.0,-9.82,-25.82,31.93,359,41.75,12.28,596,0.602,0.732,0.157,0.4389,0,0.4504,404,0.643,0,-1,,0,-1,,0,-1,,0,-1,,0.2739,80.87,0,820
80.0,1,-1,confirm,1.0,-72.93,-88.93,8.19,460,81.12,72.93,3803,0.121,0.355,0.149,0.1672,0,0.309,1858,0.9412,1,502,-11.47,1,502,-11.47,1,2042,-32.78,1,585,-22.94,0.4934,41.62,0,1416
80.0,1,1,fallback,1.0,-19.52,-35.52,21.15,230,40.67,19.52,520,0.442,3.229,0.264,0.1221,1,0.2126,172,0.8803,1,300,11.39,1,300,11.39,1,300,11.39,1,398,-2.44,0.206,81.19,1,5219
80.0,1,-1,confirm,1.0,30.16,14.16,70.1,801,39.94,0.0,951,0.842,0.945,0.11,-0.0427,1,0.2869,29,0.8998,1,603,52.98,1,603,52.98,1,603,52.98,1,629,54.61,0.0238,40.59,1,5739
80.0,1,1,confirm,1.0,-46.6,-62.6,34.34,155,80.94,46.6,2452,0.063,0.597,0.145,0.1036,1,0.1315,175,0.9218,1,257,8.18,1,257,8.18,0,-1,,1,643,-8.99,0.0822,40.22,1,6690
80.0,1,-1,fallback,1.0,-39.43,-55.43,0.82,1,40.25,39.43,443,0.002,1.543,0.082,0.2761,2,0.2865,3,0.9685,1,92,-12.32,1,92,-12.32,1,92,-12.32,1,121,-13.96,0.4069,80.66,2,9142
80.0,1,1,confirm,1.0,-68.72,-84.72,11.45,93,80.18,68.72,2448,0.038,0.977,0.13,-0.0298,2,0.3921,1659,0.9811,1,161,9.0,1,985,-19.64,1,1978,-30.27,1,2344,-65.45,0.9685,40.25,2,9585
80.0,1,-1,fallback,1.0,158.99,142.99,198.53,1818,39.54,18.12,1844,0.986,1.764,0.135,0.18,3,0.2976,363,0.8218,1,638,18.95,1,638,18.95,1,638,18.95,0,-1,,0.1176,80.08,3,12033
80.0,1,1,confirm,1.0,109.66,93.66,152.35,806,42.69,15.9,994,0.811,1.855,0.191,-0.0258,4,0.1282,622,0.726,1,789,131.42,1,789,131.42,0,-1,,0,-1,,0.3175,40.34,3,13877
80.0,1,-1,confirm,1.0,-69.55,-85.55,13.25,49,82.8,69.55,1124,0.044,0.761,0.111,-0.0198,4,-0.0116,276,0.4985,0,-1,,0,-1,,0,-1,,0,-1,,0.2009,42.05,4,14871
80.0,1,1,fallback,1.0,-37.0,-53.0,3.29,4,40.29,37.0,242,0.017,1.808,0.104,0.069,4,0.1172,122,0.5786,1,241,-36.18,1,241,-36.18,0,-1,,0,-1,,0.405,82.91,4,15995
80.0,1,-1,confirm,1.0,-50.35,-66.35,32.19,376,82.54,50.35,1588,0.237,1.029,0.186,0.172,4,0.2561,459,0.8457,1,625,-14.86,1,625,-14.86,1,625,-14.86,0,-1,,0.1264,40.28,4,16237
80.0,1,1,fallback,1.0,84.59,68.59,125.65,1039,41.06,12.32,1787,0.581,1.046,0.084,0.1034,5,0.2471,424,0.8624,1,827,101.01,1,827,101.01,1,827,101.01,1,1594,98.55,0.4626,82.8,4,17825
80.0,1,-1,confirm,1.0,-54.56,-70.56,26.06,305,80.62,54.56,1698,0.18,0.609,0.186,0.3188,5,0.3298,277,0.8832,1,834,-12.21,1,834,-12.21,1,834,-12.21,1,837,-13.03,0.3843,40.55,5,19612
80.0,1,1,fallback,1.0,54.26,38.26,95.57,2730,41.31,24.3,3035,0.9,1.188,0.131,0.403,6,0.4181,2786,0.9045,1,398,-17.82,1,398,-17.82,0,-1,,1,484,-18.63,0.2732,80.83,5,21310
80.0,1,-1,confirm,1.0,-50.75,-66.75,30.61,961,81.36,50.75,1868,0.514,1.646,0.174,0.019,7,0.1,695,0.8657,1,783,22.56,0,-1,,0,-1,,0,-1,,0.4861,40.91,6,24345
80.0,1,1,fallback,1.0,-30.46,-46.46,10.42,105,40.88,30.46,501,0.21,1.015,0.214,0.4171,7,0.5774,1,0.8454,0,-1,,0,-1,,0,-1,,0,-1,,0.3907,81.61,7,26213
80.0,1,-1,confirm,1.0,0.8,-15.2,42.61,2582,41.8,26.53,4091,0.631,0.527,0.184,0.3378,8,0.4136,2728,0.9416,1,149,-11.25,1,1588,-15.27,1,1588,-15.27,1,2032,2.41,0.0851,40.83,7,26714
