theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,fallback,0.1,29.85,13.85,70.6,2650,40.75,5.69,3933,0.674,0.499,0.109,0.2773,0,0.5644,2208,1.0,-0.7754,3933,1,101,5.69,1,101,5.69,1,101,5.69,1,102,3.32,1,105,5.69,1,158,7.11,1,105,5.69,1,158,7.11,1,1721,18.48,0.2599,81.68,0,8472
80.0,1,-1,confirm,0.1,33.07,17.07,73.22,25474,40.15,58.58,29960,0.85,0.201,0.126,-0.4914,1,0.9799,22814,1.0,-0.9767,28192,1,683,-16.06,1,683,-16.06,1,683,-16.06,1,683,-16.06,1,683,-16.06,1,688,-17.01,1,683,-16.06,1,688,-17.01,1,771,-18.42,0.5254,40.46,0,12405
80.0,1,1,confirm,0.1,16.11,0.11,56.4,7597,40.29,0.95,13817,0.55,3.55,0.24,0.6922,1,0.9728,2682,1.0,-0.9843,8929,1,180,0.95,1,180,0.95,1,180,0.95,1,180,0.95,1,553,5.69,1,560,3.79,1,553,5.69,1,560,3.79,1,560,3.79,0.8786,40.45,1,42365
80.0,1,-1,confirm,0.1,16.09,0.09,56.31,4427,40.22,3.79,4664,0.949,0.588,0.187,-0.3322,1,0.8286,1091,1.0,-0.8919,4104,1,49,1.89,1,49,1.89,1,1283,17.03,1,50,1.42,1,59,2.84,1,253,-0.95,1,59,2.84,1,253,-0.95,1,1615,11.36,0.907,40.06,1,56182
80.0,1,1,confirm,0.1,3.79,-12.21,45.03,432,41.23,-0.0,1920,0.225,1.208,0.211,0.3292,1,0.5637,158,1.0,0.0037,748,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.4389,40.45,1,60846
80.0,1,-1,confirm,0.1,77.7,61.7,118.44,7428,40.74,24.64,10169,0.73,0.942,0.088,-0.0598,1,0.7819,5636,1.0,-0.9536,8949,1,1354,14.21,1,1354,14.21,1,1354,14.21,1,1515,20.85,1,1688,18.0,1,1824,21.79,1,0,-0.0,1,0,-0.0,1,22,1.42,0.1325,41.05,1,62766
80.0,1,1,confirm,0.1,-56.34,-72.34,23.87,8285,80.22,56.34,12230,0.677,2.133,0.118,-0.2027,2,0.8711,8023,1.0,-0.9165,12209,1,259,-8.12,1,259,-8.12,1,259,-8.12,1,297,-8.59,1,321,-7.16,1,327,-11.46,1,321,-7.16,1,327,-11.46,1,348,-10.5,0.434,41.23,2,72935
80.0,1,-1,fallback,0.1,-10.56,-26.56,30.25,7045,40.82,24.97,8331,0.846,0.32,0.151,0.5305,2,0.9154,0,1.0,-0.468,3084,1,1728,1.92,1,1728,1.92,1,1728,1.92,1,1728,1.92,1,1756,-0.0,1,1764,2.4,1,1756,-0.0,1,1764,2.4,1,3083,-10.56,0.4377,80.03,2,85165
80.0,1,1,confirm,0.1,13.91,-2.09,54.2,20788,40.29,18.23,22647,0.918,0.04,0.311,0.0195,3,0.9534,9836,1.0,-0.9349,19811,1,836,-6.24,1,836,-6.24,1,836,-6.24,1,836,-6.24,1,836,-6.24,1,836,-6.24,1,836,-6.24,1,836,-6.24,1,836,-6.24,0.1516,40.94,2,93496
80.0,1,-1,confirm,0.1,4.31,-11.69,45.03,5757,40.72,0.48,9491,0.607,1.716,0.157,0.3697,3,0.7039,5368,1.0,-0.9695,6957,1,381,6.23,1,381,6.23,1,381,6.23,1,451,5.75,1,600,10.54,1,600,10.54,1,600,10.54,1,600,10.54,1,600,10.54,0.2103,40.08,3,116143
