month,is_forecast,total_consumption_bcfd,electric_power,residential,commercial,pipeline_distribution,lease_plant,vehicle,industrial_residual_bcfd,d_total,d_heating_res_plus_comm,d_power,heating_bigger_mover,power_moved_opposite_to_total
202201,0,115.55,30.62,30.889,17.771,4.555,4.934,0.178,26.604,,,,,
202202,0,109.02,28.714,28.257,16.573,4.284,4.981,0.178,26.028,-6.53,-3.829,-1.905,1,0
202203,0,89.73,25.06,18.985,12.435,3.486,5.063,0.178,24.527,-19.28,-13.41,-3.655,1,0
202204,0,78.61,24.769,12.819,9.198,3.026,5.113,0.178,23.503,-11.13,-9.404,-0.29,1,0
202205,0,72.27,29.764,6.492,5.909,2.765,5.117,0.178,22.04,-6.34,-9.615,4.995,1,1
202206,0,77.24,38.151,4.131,4.871,2.969,5.132,0.178,21.805,4.97,-3.399,8.387,0,0
202207,0,83.54,45.322,3.556,4.665,3.227,5.173,0.178,21.416,6.3,-0.781,7.171,0,0
202208,0,82.8,44.521,3.319,4.567,3.195,5.206,0.178,21.81,-0.74,-0.334,-0.801,0,0
202209,0,76.45,37.505,3.803,4.997,2.93,5.287,0.178,21.751,-6.35,0.914,-7.016,0,0
202210,0,76.21,30.53,7.804,7.203,2.921,5.278,0.178,22.293,-0.24,6.207,-6.975,0,0
202211,0,92.3,30.07,17.108,11.778,3.583,5.284,0.178,24.297,16.09,13.878,-0.46,1,1
202212,0,109.0,32.013,26.929,15.879,4.274,5.208,0.178,24.517,16.7,13.922,1.943,1,0
202301,0,107.0,31.089,26.057,15.438,4.144,5.243,0.17,24.86,-2.0,-1.312,-0.924,1,0
202302,0,105.63,30.951,24.656,15.242,4.089,5.223,0.17,25.302,-1.37,-1.597,-0.137,1,0
202303,0,97.68,30.219,20.564,13.233,3.762,5.297,0.17,24.433,-7.95,-6.1,-0.732,1,0
202304,0,80.67,28.762,11.358,8.491,3.071,5.253,0.17,23.562,-17.01,-13.949,-1.457,1,0
202305,0,74.53,31.917,6.409,5.922,2.819,5.297,0.17,21.998,-6.13,-7.517,3.155,1,1
202306,0,78.87,39.254,4.331,5.012,2.998,5.236,0.17,21.868,4.34,-2.988,7.337,0,0
202307,0,86.2,47.572,3.631,4.649,3.295,5.276,0.17,21.602,7.33,-1.063,8.318,0,0
202308,0,86.55,47.469,3.396,4.724,3.308,5.308,0.17,22.176,0.36,-0.16,-0.103,1,1
202309,0,79.54,39.958,3.816,4.909,3.022,5.318,0.17,22.349,-7.01,0.605,-7.511,0,0
202310,0,78.8,32.773,7.36,7.271,2.992,5.324,0.17,22.91,-0.74,5.906,-7.185,0,0
202311,0,94.2,32.106,16.569,11.612,3.616,5.405,0.17,24.718,15.4,13.55,-0.667,1,1
202312,0,102.66,32.891,21.349,13.391,3.96,5.412,0.17,25.484,8.46,6.559,0.785,1,0
202401,0,120.33,36.677,30.118,17.51,4.728,5.264,0.185,25.845,17.67,12.888,3.786,1,0
202402,0,102.32,31.473,22.202,14.319,3.978,5.409,0.185,24.754,-18.01,-11.107,-5.204,1,0
202403,0,90.36,29.652,16.421,11.207,3.487,5.292,0.185,24.113,-11.96,-8.893,-1.821,1,0
202404,0,80.0,29.329,10.592,8.264,3.071,5.243,0.185,23.315,-10.36,-8.772,-0.323,1,0
202405,0,75.45,33.796,5.563,5.677,2.879,5.251,0.185,22.099,-4.55,-7.616,4.467,1,1
202406,0,81.04,41.281,4.122,5.093,3.12,5.314,0.185,21.925,5.59,-2.025,7.485,0,0
